Testbed,Query,MAP,NDCG,MAPwithBRF,NDCGwithBRF,MAPwithSW,NDCGwithSW,MAPwithThes,NDCGwithThes,MAPwithThesAndStop,NDCGwithThesAndStop,MAPwithCom,NDCGwithCom
1,1,0.476359126984127,0.9256180470797137,0.476359126984127,0.9256180470797137,0.476359126984127,0.9256180470797137,0.39685515873015875,0.7208799707082815,0.39685515873015875,0.7208799707082815,0.39685515873015875,0.7208799707082815
1,2,0.12289682539682538,0.2655893099621254,0.12289682539682538,0.2655893099621254,0.12289682539682538,0.2655893099621254,0.16581349206349208,0.2626633251188907,0.16581349206349208,0.2626633251188907,0.16581349206349208,0.2626633251188907
1,3,0.11742063492063493,0.22687128727059278,0.11742063492063493,0.22687128727059278,0.09450396825396824,0.19070838696568634,0.07561507936507937,0.11682540412155266,0.09436507936507936,0.1526174419698506,0.09436507936507936,0.1526174419698506
1,4,0.3867460317460317,0.7917063341896683,0.3867460317460317,0.7917063341896683,0.3867460317460317,0.7917063341896683,0.22087301587301583,0.45447937127589266,0.22087301587301583,0.45447937127589266,0.22087301587301583,0.45447937127589266
1,5,0.41241071428571424,0.8507549823616223,0.41241071428571424,0.8507549823616223,0.41241071428571424,0.8507549823616223,0.2980853174603174,0.6464904631468851,0.2980853174603174,0.6464904631468851,0.2980853174603174,0.6464904631468851
2,1,0.07700396825396826,0.17554440492323456,0.07700396825396826,0.17554440492323456,0.08175595238095237,0.23094519733785188,0.05662698412698412,0.10414683290516591,0.04769841269841269,0.09170490262420007,0.021418650793650795,0.07232624621653219
2,2,0.24820436507936505,0.4431095174393951,0.24820436507936505,0.4431095174393951,0.24750992063492064,0.4345116708149634,0.17574404761904763,0.340932684427909,0.23619047619047615,0.40349211907373667,0.23619047619047615,0.40349211907373667
2,3,0.2913888888888889,0.527785427618456,0.24441468253968254,0.46239881722460024,0.2808333333333333,0.5164330265025318,0.21734126984126984,0.387446395884046,0.22119047619047616,0.4175218084794825,0.21421626984126982,0.38421227176127526
2,4,0.11463293650793649,0.2549701571955799,0.11150793650793649,0.2533816579543858,0.14598214285714287,0.28706978562910446,0.019305555555555555,0.10124161603625312,0.03172619047619048,0.13830142792603045,0.0264484126984127,0.10517431619883591
2,5,0.10214285714285713,0.217554947796521,0.09186507936507936,0.18105541173785364,0.10214285714285713,0.217554947796521,0.09610119047619047,0.2132538492665846,0.09610119047619047,0.2132538492665846,0.09047619047619046,0.17985495592591463
3,1,0.4511904761904762,0.8802795715986924,0.43202380952380953,0.8289493111868724,0.4511904761904762,0.8802795715986924,0.4140476190476191,0.7091007751660205,0.4140476190476191,0.7091007751660205,0.4423412698412698,0.7865833708043043
3,2,0.3237797619047619,0.6172478481124481,0.3237797619047619,0.6172478481124481,0.3237797619047619,0.6172478481124481,0.24840277777777775,0.4336217476135813,0.24840277777777775,0.4336217476135813,0.24840277777777775,0.4336217476135813
3,3,0.3420436507936508,0.5971771584417377,0.3420436507936508,0.5971771584417377,0.3420436507936508,0.5971771584417377,0.22112103174603176,0.39469730443369333,0.22112103174603176,0.39469730443369333,0.22112103174603176,0.39469730443369333
3,4,0.045059523809523806,0.14670819913681854,0.045059523809523806,0.14670819913681854,0.045059523809523806,0.14670819913681854,0.15671626984126982,0.2838605789264042,0.15671626984126982,0.2838605789264042,0.1365079365079365,0.29825866669950357
3,5,0.18180555555555553,0.35995941045535546,0.21222222222222223,0.391075408629594,0.18180555555555553,0.35995941045535546,0.2560416666666666,0.4945689592687988,0.2560416666666666,0.4945689592687988,0.21236111111111108,0.4499898352803605
4,1,0.26590277777777777,0.4305789706523806,0.26590277777777777,0.4305789706523806,0.26590277777777777,0.4305789706523806,0.3104761904761905,0.635867870382179,0.3104761904761905,0.635867870382179,0.29215277777777776,0.5959028416234888
4,2,0.435188492063492,0.81192069785431,0.4307440476190476,0.8367192804812934,0.44574404761904757,0.878174921308699,0.3890773809523809,0.7926452009772896,0.44046626984126985,0.8450478095815045,0.43536706349206344,0.8135221979535759
4,3,0.1772321428571429,0.35665403260549644,0.1303670634920635,0.23739507094009232,0.23802579365079363,0.46331803895032,0.06383928571428571,0.13090403711353774,0.1412003968253968,0.28109657196216775,0.1459920634920635,0.25339185054354363
4,4,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
4,5,0.4781944444444445,0.8669479898642711,0.47791666666666666,0.8974416663360284,0.4781944444444445,0.8669479898642711,0.4781944444444445,0.8669479898642711,0.4781944444444445,0.8669479898642711,0.47791666666666666,0.8974416663360284
5,1,0.059365079365079364,0.1294048944948064,0.05797619047619047,0.1884528025503463,0.059365079365079364,0.1294048944948064,0.16720238095238094,0.32302795080214924,0.16720238095238094,0.32302795080214924,0.1846329365079365,0.3089810804237568
